21,446.48
22,431.7647
23,520.8421
24,582.9286
25,612.8722
26,687.3242
27,779.3203
28,780.5309
29,702.7581
30,799.1714
31,739.7747
32,761.5593
33,715.7424
34,839.0051
35,747.1185
36,806.9694
37,782.4537
38,965.8674
39,936.8304
40,1098.576
41,1157.8
42,1196.551
43,1135.371
44,1192.517
45,1192.438
46,1236.28
47,1264.703
48,1365.815
49,1461.987
50,1390.893
51,1434.936
52,1549.852
53,1540.434
54,1534.664
55,1594.978
56,1563.881
57,1490.47
58,1564.368
59,1627.546
60,2007.402
61,2176.262
62,2343.92
63,2221.225
64,2198.958
65,1899.589
