50,.9926892,.9969947
51,.9932083,.9980392
52,.9899543,.9969316
53,.9895914,.9963012
54,.9905211,.9956717
55,.9901844,.9963235
56,.9899678,.9951762
57,.9858518,.9959331
58,.9859933,.9943911
59,.9856736,.9947229
60,.9808949,.9932146
61,.9831921,.9919298
62,.9818965,.9890499
63,.9811862,.9927654
64,.9780779,.9897764
65,.976523,.9877905
66,.9711777,.9862325
67,.9740718,.9867371
68,.9720078,.986102
69,.9714794,.9844877
70,.9670876,.9800912
71,.966285,.9779701
72,.9589623,.9765397
73,.9610625,.9741266
74,.9595007,.9695228
75,.9471599,.9732385
76,.9483685,.9651349
77,.9465425,.9602112
78,.9379794,.9610841
79,.9421772,.9491681
80,.9249842,.9502808
81,.9213384,.9422902
82,.9165151,.9333474
83,.9080614,.9258775
84,.9140496,.9166635
85,.8857852,.9041871
86,.8768013,.9020737
87,.8768659,.8838575
88,.8498747,.8797899
89,.8332864,.85036
90,.8357109,.8513916
